sweep,parameter,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std
phase_bits,8-bit,82.92619400762126,0.7021812175073816,0.9999990395383834,4.454466784568055e-08,1.460125440644333e-06,2.6626983829562287e-07
phase_bits,4-bit,59.23397488367442,0.22225824345830722,0.9996877952711106,2.0130028692072415e-05,0.0003704564704094082,6.535117721242302e-05
phase_bits,2-bit,45.65578829535549,0.7896052324583207,0.9747434282979967,0.0023085129447219326,0.018972349166870118,0.00413929565056835
phase_bits,1-bit,35.93150543018055,0.2248164559443962,0.6001367234649658,0.028405571643609316,0.20213620364665985,0.011215078717645923
resolution,128x128,28.62923987305703,0.24124805986466283,0.8600688617572445,0.008943327131107542,0.3814286351203918,0.0166613775973721
resolution,64x64,25.548637161560826,0.5916584858411649,0.6267727940687955,0.03370179051930639,0.5833969593048096,0.022255054946831557
resolution,32x32,21.27178115865746,1.0796454449197124,0.23903224371765325,0.030939531549074986,0.7805263876914978,0.025753850386324374
resolution,16x16,17.233429520895285,1.093386755858922,0.03632305072901254,0.010077464321182384,0.8951558828353882,0.02075296523192495
