sweep,parameter,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std
phase_bits,8-bit,82.39834901734311,0.9593609422037914,0.9999990225006103,3.772988221018965e-08,1.0570764516160126e-06,2.7661322233448905e-07
phase_bits,4-bit,58.297901462564255,1.188098888803203,0.9996175438747406,3.4342597868490444e-05,0.0003354966873303056,8.955447304973245e-05
phase_bits,2-bit,42.16832162179286,0.6564395786704679,0.9192266706251144,0.008641411933148855,0.05417082831263542,0.008091624195589123
phase_bits,1-bit,0.04684053741989129,0.0008448176329667585,0.0028368179098282012,3.8335365422182644e-05,0.8104687213897706,0.0007191821296636999
resolution,128x128,28.62923987305703,0.24124805986466283,0.8600688617572445,0.008943327131107542,0.3814286351203918,0.0166613775973721
resolution,64x64,25.548637161560826,0.5916584858411649,0.6267727940687955,0.03370179051930639,0.5833969593048096,0.022255054946831557
resolution,32x32,21.27178115865746,1.0796454449197124,0.23903224371765325,0.030939531549074986,0.7805263876914978,0.025753850386324374
resolution,16x16,17.233429520895285,1.093386755858922,0.03632305072901254,0.010077464321182384,0.8951558828353882,0.02075296523192495
