sweep,parameter,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std
resolution,128x128,18.73997789071974,6.4291337899937675,0.47074133396622203,0.29829751110598723,0.6047976613044739,0.21342731561420422
resolution,64x64,17.490783023099386,5.479338931894897,0.27003141684013104,0.24129835430766572,0.6898376941680908,0.08838865611466615
resolution,32x32,15.792477542084193,3.726399220984805,0.09538393570773757,0.07686505128240799,0.7432420402765274,0.03974672702820507
resolution,16x16,13.784926770856806,1.8533643345732762,0.04676394287715277,0.01789629190387448,0.8254447877407074,0.0800666779471029
phase_bits,8-bit,67.08507043475024,11.394538739862659,0.9999269501261712,8.30024554995787e-05,1.7292850515104874e-05,2.089982258256898e-05
phase_bits,4-bit,43.45365779927182,10.815248643449424,0.9805382310323715,0.021121738777949758,0.004862275782215875,0.005498973917573461
phase_bits,2-bit,29.5359628444153,10.538072818481695,0.7312086697794887,0.18092786006812772,0.12715475214645267,0.10882049713832183
phase_bits,1-bit,22.63229040708131,8.646215368745047,0.31849836180517593,0.19623979250686285,0.5022204667329788,0.26561032309158616
viewing_angle,75%,20.3049186479232,6.897789259428374,0.7327263411492824,0.24183455500271728,0.3236090876162052,0.18951251699904334
viewing_angle,50%,19.257898423805585,6.35109347504098,0.7118509749493553,0.2515929010023619,0.3363828882575035,0.19967230341143627
viewing_angle,25%,19.320901432605186,6.672972769660508,0.6888698461568108,0.27045087647410765,0.35752384178340435,0.2288528081219012
viewing_angle,10%,19.140936759549803,6.400789988999234,0.4112434292943815,0.19652057673764267,0.48112158104777336,0.20965631246733868
